UNITID,CDACTUA,EFTEUG,FTEUG
212133,42432.0,1414.0,1532.0
212197,50056.0,1669.0,1669.0
212434,15930.0,354.0,354.0
212577,67204.0,2240.0,2240.0
212601,89338.0,2978.0,2978.0
212656,32001.0,1067.0,1067.0
212674,79104.0,2637.0,2540.0
212771,3997.0,133.0,133.0
212805,66197.0,2207.0,2207.0
212832,43754.0,1458.0,1458.0
212869,21908.0,730.0,730.0
212878,244522.0,8151.0,8151.0
212911,44696.0,1490.0,1490.0
212975,3495.0,119.0,119.0
212984,60990.0,2033.0,2033.0
212993,2080.0,69.0,69.0
213011,42313.0,1410.0,1410.0
213020,194737.0,6795.0,6795.0
213163,7742.0,258.0,258.0
213181,4777.0,433.0,433.0
213233,13810.0,460.0,460.0
213251,37425.0,1248.0,1248.0
213303,37425.0,1248.0,1248.0
213321,55066.0,1836.0,1836.0
213349,182875.0,6096.0,6096.0
213358,48455.0,1615.0,1615.0
213367,78185.0,2606.0,2606.0
213376,57080.0,2001.0,2001.0
213385,83857.0,2795.0,2795.0
213400,34198.0,1140.0,1140.0
213473,1537.0,89.0,89.0
213507,49419.0,1647.0,1647.0
213525,116260.0,3875.0,3875.0
213534,8080.0,287.0,287.0
213543,175195.0,5840.0,5840.0
213570,7383.0,427.0,427.0
213589,10631.0,354.0,354.0
213598,52189.0,1740.0,1740.0
213622,2976.0,99.0,99.0
213659,81245.0,2708.0,2708.0
213668,33321.0,1111.0,1111.0
213774,14664.0,489.0,489.0
213826,53102.0,1770.0,1770.0
213914,9632.0,321.0,349.0
213932,3708.0,124.0,124.0
213987,74928.0,2498.0,2498.0
213996,71531.0,2384.0,2384.0
214023,1537.0,57.0,57.0
214041,163748.0,5458.0,5458.0
214069,53721.0,1791.0,1791.0
214111,168817.0,5627.0,5627.0
214148,11019.0,367.0,367.0
214157,60347.0,2012.0,2012.0
214166,37601.0,1253.0,1253.0
214175,69040.0,2301.0,2301.0
214272,43488.0,1450.0,1450.0
214290,20193.0,673.0,673.0
214379,157251.0,5242.0,5242.0
214476,1580.0,57.0,57.0
214528,6931.0,248.0,361.0
214582,21486.0,477.0,477.0
214591,100142.0,3338.0,3338.0
214625,13913.0,464.0,464.0
214634,7197.0,240.0,240.0
214643,9417.0,314.0,314.0
214652,27637.0,921.0,921.0
214670,25033.0,834.0,834.0
214689,80572.0,2686.0,2686.0
214698,16076.0,536.0,536.0
214704,62084.0,2069.0,2069.0
214713,124338.0,4145.0,4145.0
214731,35521.0,1184.0,1184.0
214740,11692.0,390.0,390.0
214759,14869.0,496.0,496.0
214768,15182.0,506.0,506.0
214777,401939.0,13099.0,13082.0
214786,11563.0,385.0,385.0
214795,18553.0,618.0,618.0
214801,91349.0,3045.0,3045.0
214810,17575.0,586.0,586.0
214829,18956.0,632.0,632.0
214883,16540.0,551.0,551.0
214892,12240.0,290.0,290.0
214971,3615.0,121.0,121.0
215053,6490.0,216.0,216.0
215062,401939.0,13099.0,11385.0
215105,39692.0,1323.0,1323.0
215114,26765.0,892.0,892.0
215239,268050.0,8935.0,8935.0
215266,39320.0,1311.0,1311.0
215275,39157.0,1305.0,1305.0
215284,61681.0,2056.0,2056.0
215293,401939.0,13099.0,13082.0
215309,1537.0,57.0,57.0
215390,6952.0,232.0,240.0
215415,77535.0,1723.0,1723.0
215442,77224.0,2574.0,2574.0
215479,1537.0,57.0,57.0
215585,71894.0,2396.0,2396.0
215594,6027.0,248.0,248.0
215637,13126.0,292.0,292.0
215655,88609.0,2954.0,2954.0
215682,17304.0,577.0,577.0
215691,12009.0,400.0,400.0
215743,60343.0,2011.0,2011.0
215770,165317.0,5511.0,5511.0
215798,44079.0,1469.0,1469.0
215929,109376.0,3646.0,3646.0
215947,53959.0,1799.0,1799.0
215974,10330.0,344.0,344.0
215983,1537.0,57.0,57.0
215992,4891.0,190.0,190.0
216010,133181.0,4439.0,4439.0
216038,209604.0,6987.0,6987.0
216047,1537.0,57.0,57.0
216083,15042.0,334.0,334.0
216162,8387.0,280.0,280.0
216278,72736.0,2425.0,2425.0
216287,54262.0,1809.0,1696.0
216296,38249.0,1275.0,1275.0
216311,5479.0,183.0,183.0
216339,401939.0,13099.0,13082.0
216357,23929.0,798.0,798.0
216366,123824.0,4127.0,4127.0
216436,5356.0,179.0,194.0
216445,5636.0,188.0,188.0
216454,4307.0,144.0,144.0
216524,48912.0,1630.0,1630.0
216542,14099.0,470.0,470.0
216551,2646.0,88.0,71.0
216597,227960.0,7599.0,7599.0
216630,1537.0,57.0,57.0
216667,36209.0,1207.0,1207.0
216694,35299.0,1177.0,1177.0
216764,401939.0,13099.0,13082.0
216773,3700.0,123.0,123.0
216782,5016.0,167.0,167.0
216807,35249.0,1175.0,1175.0
216825,72390.0,2413.0,2413.0
216852,81688.0,2723.0,2723.0
216931,62887.0,2096.0,2096.0
216940,9603.0,320.0,252.0
217013,25021.0,834.0,834.0
217040,1537.0,57.0,57.0
217059,102580.0,3419.0,3419.0
217077,14026.0,468.0,545.0
217156,255796.0,8527.0,7375.0
217165,89420.0,2981.0,2981.0
217235,130249.0,4342.0,4342.0
217305,87576.0,1946.0,1946.0
217323,24106.0,804.0,804.0
217402,125169.0,4172.0,4172.0
217420,136554.0,4552.0,4552.0
217475,238610.0,7954.0,7954.0
